run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_unique_branding_pages,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,n_duplicate_pages_within_observation,duplicate_tokens_removed,duplicate_words_removed,deduplication_applied,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,n_pages_de,n_pages_en,n_pages_other,n_pages_unknown,tokens_de,tokens_en,tokens_other,tokens_unknown,primary_language_by_tokens,german_text_analysis_eligible,german_text_analysis_exclusion_reason,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,post_event,2021-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,post_post_event,2023-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,event,2015-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,event,2021-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,pre_pre_event,2017-07-01,2017-06-29,selected,include,True,25,12,12,10,2,10,0,10,9,9,414,414,True,2297,2297,2041,2041,208,de,"{""de"": 2041}",0,10,0,0,0,2041,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,pre_event,2019-07-01,2019-06-25,selected,include,True,25,12,12,11,1,11,0,9,8,8,368,368,True,6850,6850,6664,6664,187,de,"{""de"": 6664}",0,11,0,0,0,6664,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,event,2021-07-01,2021-07-01,selected,include,True,25,20,20,19,1,19,0,0,1,1,173,173,True,17437,17437,17264,17264,0,de,"{""de"": 17264}",0,19,0,0,0,17264,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,post_event,2023-07-01,2023-07-04,selected,include,True,25,22,22,19,3,19,0,0,2,2,1273,1273,True,21655,21655,20185,20185,203,de,"{""de"": 20185}",0,19,0,0,0,20185,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,13,HIPP HOLDING / HIPP GMBH & CO. VERTRIEB KG,post_post_event,2025-07-01,2025-07-02,selected,include,True,25,18,18,17,1,17,0,1,0,0,0,0,True,12661,12661,12537,12537,128,de,"{""de"": 12537}",0,17,0,0,0,12537,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,pre_pre_event,2015-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,pre_event,2017-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,event,2019-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,post_event,2021-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,14,CLAAS KGAA MBH,post_post_event,2023-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,pre_pre_event,2013-07-01,2013-01-29,selected,include,True,25,21,20,14,6,14,0,3,5,5,265,265,True,2241,2241,1930,1930,0,en,"{""en"": 1252, ""de"": 678}",0,5,9,0,0,678,1252,0,0,en,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,pre_event,2015-07-01,2015-07-02,selected,include,True,25,20,20,20,0,20,0,2,1,1,46,46,True,4784,4784,4784,4784,0,en,"{""en"": 3801, ""de"": 983}",0,1,19,0,0,983,3801,0,0,en,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,event,2017-07-01,2017-07-01,selected,include,True,25,22,22,20,2,20,0,0,2,2,5736,5736,True,12683,12683,6947,6947,0,en,"{""en"": 6947}",0,0,20,0,0,0,6947,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,post_event,2019-07-01,2019-06-26,selected,include,True,25,21,21,21,0,21,0,0,0,0,0,0,True,6418,6418,6418,6418,0,en,"{""en"": 6418}",0,0,21,0,0,0,6418,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,15,FABER-CASTELL AG,post_post_event,2021-07-01,2021-06-15,selected,include,True,25,24,24,24,0,24,0,0,0,0,0,0,True,9486,9486,9486,9486,0,en,"{""en"": 9486}",0,0,24,0,0,0,9486,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,pre_pre_event,2016-07-01,2016-07-02,selected,include,True,25,24,24,18,6,18,0,0,4,4,2438,2438,True,16441,16441,13161,13161,838,en,"{""en"": 13161}",0,0,18,0,0,0,13161,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,pre_event,2018-07-01,2018-07-01,selected,include,True,25,23,22,19,3,19,0,0,0,0,0,0,True,16185,16185,14566,14566,1609,en,"{""en"": 14566}",0,0,19,0,0,0,14566,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,event,2020-07-01,2020-07-01,selected,include,True,25,23,22,21,1,21,0,0,0,0,0,0,True,18957,18957,18694,18694,263,en,"{""en"": 18694}",0,0,21,0,0,0,18694,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,post_event,2022-07-01,2022-07-01,selected,include,True,25,22,22,20,2,20,0,0,1,1,3801,3801,True,22775,22775,18711,18711,263,en,"{""en"": 18711}",0,0,20,0,0,0,18711,0,0,en,False,no_german_branding_pages,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,16,HENKEL AG & CO. KGAA,post_post_event,2024-07-01,2024-07-01,selected,include,True,1,0,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_branding_pages,False,no_branding_pages,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,MERCK KGAA,pre_pre_event,2017-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,17,MERCK KGAA,pre_event,2019-07-01,,beyond_tolerance,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
